feature,missing_pct,missing_count,non_missing_count
FWA_137,0.5645247896903526,3154,2433
FWA_134,0.48988723823160907,2737,2850
WTI_110,0.4750313227134419,2654,2933
NWE_110,0.36226955432253444,2024,3563
COW_10,0.3610166457848577,2017,3570
UHW_16GR,0.3601217111150886,2012,3575
UCA_10,0.35224628602112046,1968,3619
ARV_10,0.33040988007875427,1846,3741
CHC_100,0.019151601933058888,107,5480
ARX_10,0.006264542688383748,35,5552
APR_50,0.005548594952568463,31,5556
APR_40,0.0051906210846608195,29,5558
APR_80,0.004295686414891713,24,5563
APR_70,0.004295686414891713,24,5563
APR_30,0.004116699480937892,23,5564
APR_60,0.004116699480937892,23,5564
APR_20,0.0030427778772149634,17,5570
MARSTAT,0.001431895471630571,8,5579
APR_10,0.0008949346697691068,5,5582
FAMINCG1,0.0,0,5587
TTLINCG1,0.0,0,5587
HAP_10C,0.0,0,5587
PAR_10,0.0,0,5587
SEX,0.0,0,5587
LIVARR08,0.0,0,5587
PRV,0.0,0,5587
AGEGR10,0.0,0,5587
